date,open,high,low,close,volume
2017-08-17,315.0,320.0,297.3,301.05,7721.05600479
2017-08-18,300.0,307.5,285.9,293.1,8855.75573207
2017-08-19,293.11,298.29,280.0,289.01,6987.77262938
2017-08-20,289.0,298.6,284.7,298.4,3556.26476689
2017-08-21,297.26,353.0,292.71,319.31,24754.48979057
2017-08-22,319.37,328.8,291.86,312.22,17151.96529224
2017-08-23,313.43,324.68,311.34,315.61,11551.1216036
2017-08-24,315.61,327.49,312.4,323.84,8279.52755141
2017-08-25,323.85,337.22,322.21,329.0,9866.78209119
2017-08-26,329.55,335.12,324.56,332.38,8164.81142142
2017-08-27,332.42,347.55,332.38,347.55,8115.97762703
2017-08-28,347.71,350.29,333.01,346.68,14196.59651634
2017-08-29,346.83,376.55,345.0,372.37,24406.09679048
2017-08-30,372.12,390.68,365.0,383.03,33918.4465685
2017-08-31,383.38,393.0,380.05,388.0,15445.38329735
2017-09-01,387.98,396.0,384.2,390.0,21656.4303218
2017-09-02,390.33,392.45,327.0,351.5,29696.73424378
2017-09-03,351.47,370.2,331.0,350.62,24080.45415912
2017-09-04,350.62,352.16,275.15,300.0,46192.45809245
2017-09-05,302.71,323.76,270.0,316.54,31763.82307242
2017-09-06,316.62,341.6,315.01,337.36,27081.57622229
2017-09-07,337.36,339.89,323.0,335.82,22030.97389679
2017-09-08,335.63,335.63,290.01,305.86,38661.09094919
2017-09-09,305.8,307.96,290.0,303.81,12409.00343127
2017-09-10,303.86,305.98,273.0,298.0,38810.91494963
2017-09-11,298.17,305.99,285.75,297.32,19404.5510051
2017-09-12,297.31,316.5,285.0,293.85,31113.19204216
2017-09-13,293.96,294.31,255.06,275.25,49227.22144466
2017-09-14,275.79,280.68,221.6,223.4,71254.52515182
2017-09-15,223.1,266.0,201.0,257.36,96220.55380527
2017-09-16,257.38,271.34,240.47,253.08,31459.44457569
2017-09-17,253.08,263.88,236.03,257.1,19524.26276482
2017-09-18,257.08,299.91,256.76,298.0,48043.63474988
2017-09-19,298.0,299.69,275.58,282.62,23891.50811787
2017-09-20,283.11,293.02,276.43,283.51,17131.23956029
2017-09-21,283.6,288.04,250.01,258.25,29303.7983277
2017-09-22,258.17,274.0,250.0,262.89,18940.51002368
2017-09-23,263.0,286.28,258.95,285.58,15794.12191307
2017-09-24,285.31,294.22,275.59,283.58,14555.1617993
2017-09-25,283.48,297.53,282.2,294.97,23119.10405932
2017-09-26,294.45,295.3,285.22,288.94,14621.77247701
2017-09-27,288.43,313.0,287.22,310.35,35535.29280781
