date,supertrend strategy,golden cross strategy,rsi strategy backtest,bollinger bands strategy,volatility breakout strategy
2021-09-05,0,0,0,19,0
2021-09-12,0,0,0,13,0
2021-09-19,0,0,0,12,0
2021-09-26,0,0,0,0,0
2021-10-03,20,0,0,17,0
2021-10-10,0,0,0,0,0
2021-10-17,0,0,0,15,0
2021-10-24,0,0,0,19,0
2021-10-31,0,0,0,0,0
2021-11-07,0,0,0,0,0
2021-11-14,0,0,0,12,0
2021-11-21,0,0,0,14,0
2021-11-28,0,0,0,15,0
2021-12-05,0,0,0,13,0
2021-12-12,0,0,0,17,0
2021-12-19,0,0,0,0,0
2021-12-26,0,0,0,0,0
2022-01-02,0,0,0,25,0
2022-01-09,13,0,0,16,0
2022-01-16,12,0,0,22,0
2022-01-23,14,0,0,12,0
2022-01-30,16,0,0,13,0
2022-02-06,15,0,0,19,0
2022-02-13,17,0,0,18,0
2022-02-20,15,0,0,18,0
2022-02-27,9,0,0,10,0
2022-03-06,15,0,0,20,0
2022-03-13,11,0,0,19,0
2022-03-20,0,0,0,17,0
2022-03-27,10,0,0,14,0
2022-04-03,0,0,0,22,0
2022-04-10,10,0,0,18,0
2022-04-17,9,0,0,18,0
2022-04-24,8,0,0,21,0
2022-05-01,12,0,0,18,0
2022-05-08,14,0,0,16,0
2022-05-15,12,0,0,13,0
2022-05-22,15,0,0,15,0
2022-05-29,0,0,0,18,0
2022-06-05,11,0,0,17,0
2022-06-12,10,0,0,16,0
2022-06-19,12,0,0,19,0
2022-06-26,0,0,0,21,0
2022-07-03,17,0,0,24,0
2022-07-10,13,0,0,16,0
2022-07-17,0,0,0,17,0
2022-07-24,0,0,0,24,0
2022-07-31,18,0,0,18,0
2022-08-07,0,0,0,20,0
2022-08-14,13,0,0,22,0
2022-08-21,0,0,0,17,0
2022-08-28,11,0,0,16,0
2022-09-04,0,0,0,0,0
2022-09-11,0,0,0,15,0
2022-09-18,12,0,0,20,0
2022-09-25,10,0,0,16,0
2022-10-02,0,0,0,17,0
2022-10-09,11,0,0,17,0
2022-10-16,12,0,0,10,0
2022-10-23,12,0,0,12,0
2022-10-30,17,0,0,22,0
2022-11-06,10,0,0,15,0
2022-11-13,14,0,0,16,0
2022-11-20,0,0,0,18,0
2022-11-27,0,0,0,15,0
2022-12-04,11,0,0,13,0
2022-12-11,0,0,0,16,0
2022-12-18,12,0,0,15,0
2022-12-25,0,0,0,16,0
2023-01-01,22,0,0,20,0
2023-01-08,0,0,0,14,0
2023-01-15,15,0,0,17,0
2023-01-22,18,0,0,13,0
2023-01-29,0,0,0,20,0
2023-02-05,12,0,0,23,0
2023-02-12,11,0,0,16,0
2023-02-19,9,0,0,15,0
2023-02-26,12,0,0,17,0
2023-03-05,0,0,0,15,0
2023-03-12,9,0,0,24,0
2023-03-19,15,0,0,17,0
2023-03-26,0,0,0,20,0
2023-04-02,13,0,0,13,0
2023-04-09,0,0,0,14,0
2023-04-16,13,0,0,15,0
2023-04-23,0,0,0,19,0
2023-04-30,0,0,0,14,0
2023-05-07,16,0,0,14,0
2023-05-14,11,0,0,18,0
2023-05-21,11,9,0,22,0
2023-05-28,0,0,0,12,0
2023-06-04,0,0,0,12,0
2023-06-11,18,0,0,17,0
2023-06-18,22,0,0,14,0
2023-06-25,16,0,0,12,0
2023-07-02,0,0,0,20,0
2023-07-09,10,0,0,15,0
2023-07-16,18,0,0,23,0
2023-07-23,16,0,0,20,0
2023-07-30,0,0,0,17,0
2023-08-06,10,0,0,18,0
2023-08-13,18,0,0,21,0
2023-08-20,18,0,0,22,0
2023-08-27,0,0,0,19,0
2023-09-03,11,0,0,16,0
2023-09-10,15,0,0,12,0
2023-09-17,10,0,0,14,0
2023-09-24,0,0,0,24,0
2023-10-01,14,0,0,18,0
2023-10-08,16,0,0,20,0
2023-10-15,14,0,0,20,0
2023-10-22,10,0,0,20,0
2023-10-29,10,0,0,29,0
