date,forex strategy backtest,gold trading strategy,eurusd strategy,moving average crossover forex,supertrend strategy
2021-09-05,0,0,0,0,0
2021-09-12,0,0,0,0,0
2021-09-19,0,0,0,0,0
2021-09-26,0,0,0,0,0
2021-10-03,0,3,0,0,5
2021-10-10,0,0,0,0,0
2021-10-17,0,0,0,0,0
2021-10-24,0,0,0,0,0
2021-10-31,0,0,0,0,0
2021-11-07,0,0,0,0,0
2021-11-14,0,0,0,0,0
2021-11-21,0,0,0,0,0
2021-11-28,0,5,0,0,0
2021-12-05,0,0,0,0,0
2021-12-12,0,4,0,0,0
2021-12-19,0,0,0,0,0
2021-12-26,0,0,0,0,0
2022-01-02,0,0,0,0,0
2022-01-09,0,0,0,0,4
2022-01-16,0,0,0,0,3
2022-01-23,0,0,0,0,4
2022-01-30,0,0,0,0,4
2022-02-06,0,0,0,0,4
2022-02-13,0,4,0,0,5
2022-02-20,0,3,0,0,4
2022-02-27,0,3,0,0,2
2022-03-06,0,4,0,0,4
2022-03-13,0,3,0,0,3
2022-03-20,0,0,0,0,0
2022-03-27,0,3,0,0,3
2022-04-03,0,0,0,0,0
2022-04-10,0,3,0,0,3
2022-04-17,0,5,0,0,2
2022-04-24,2,4,0,0,2
2022-05-01,0,2,0,0,3
2022-05-08,0,2,0,0,4
2022-05-15,0,0,0,0,3
2022-05-22,0,3,0,0,4
2022-05-29,0,0,0,0,0
2022-06-05,0,0,0,0,3
2022-06-12,0,3,0,0,3
2022-06-19,0,0,0,0,3
2022-06-26,0,0,0,0,0
2022-07-03,0,0,0,0,5
2022-07-10,0,0,0,0,4
2022-07-17,0,0,0,0,0
2022-07-24,0,3,0,0,0
2022-07-31,0,0,0,0,5
2022-08-07,0,4,0,0,0
2022-08-14,0,0,0,0,4
2022-08-21,0,0,0,0,0
2022-08-28,0,3,0,0,3
2022-09-04,0,4,0,0,0
2022-09-11,0,0,0,0,0
2022-09-18,0,3,0,0,3
2022-09-25,0,0,0,0,3
2022-10-02,0,0,0,0,0
2022-10-09,0,3,0,0,3
2022-10-16,0,0,0,3,3
2022-10-23,0,0,0,0,3
2022-10-30,0,0,0,0,5
2022-11-06,0,5,0,0,3
2022-11-13,0,0,0,0,4
2022-11-20,0,0,0,0,0
2022-11-27,0,0,0,0,0
2022-12-04,0,3,0,0,3
2022-12-11,0,0,0,0,0
2022-12-18,0,3,0,0,3
2022-12-25,0,0,0,0,0
2023-01-01,0,3,0,0,6
2023-01-08,0,3,0,0,0
2023-01-15,0,3,0,0,4
2023-01-22,0,0,0,0,5
2023-01-29,0,4,0,0,0
2023-02-05,0,3,0,0,3
2023-02-12,0,0,0,0,3
2023-02-19,0,4,0,0,3
2023-02-26,0,4,0,0,3
2023-03-05,0,0,0,0,0
2023-03-12,0,2,0,0,3
2023-03-19,0,4,0,0,4
2023-03-26,0,0,0,0,0
2023-04-02,0,3,4,0,4
2023-04-09,0,3,0,0,0
2023-04-16,0,4,0,0,3
2023-04-23,0,0,0,0,0
2023-04-30,3,0,0,0,0
2023-05-07,0,5,3,0,4
2023-05-14,0,3,0,0,3
2023-05-21,0,3,0,0,3
2023-05-28,0,0,0,0,0
2023-06-04,0,3,0,0,0
2023-06-11,0,3,0,0,5
2023-06-18,0,4,0,0,6
2023-06-25,0,4,0,0,4
2023-07-02,0,5,0,0,0
2023-07-09,0,4,0,0,3
2023-07-16,0,4,0,0,5
2023-07-23,0,3,0,0,5
2023-07-30,0,0,0,0,0
2023-08-06,0,0,0,0,3
2023-08-13,0,4,0,0,5
2023-08-20,0,3,0,0,5
2023-08-27,0,0,0,0,0
2023-09-03,0,3,0,0,3
2023-09-10,0,0,0,0,4
2023-09-17,0,0,0,0,3
2023-09-24,0,4,0,0,0
2023-10-01,0,3,0,0,4
2023-10-08,0,3,0,0,5
2023-10-15,0,3,0,0,4
2023-10-22,0,4,0,0,3
2023-10-29,0,4,0,0,3
2023-11-05,0,4,0,0,0
2023-11-12,0,0,0,0,0
2023-11-19,0,3,0,0,6
2023-11-26,0,3,0,0,3
2023-12-03,0,3,0,0,5
2023-12-10,0,0,0,0,4
2023-12-17,0,0,0,0,0
2023-12-24,0,3,0,0,0
2023-12-31,0,0,0,0,0
2024-01-07,0,3,0,0,0
2024-01-14,0,0,0,0,0
2024-01-21,0,3,0,0,0
2024-01-28,0,0,0,0,3
2024-02-04,0,0,0,0,3
2024-02-11,0,0,0,0,0
2024-02-18,0,0,0,0,4
2024-02-25,0,3,0,0,7
2024-03-03,0,3,0,0,3
2024-03-10,0,6,0,0,0
2024-03-17,0,0,0,0,3
2024-03-24,0,4,0,0,0
2024-03-31,0,4,0,0,0
2024-04-07,0,5,0,0,5
2024-04-14,0,5,0,0,4
2024-04-21,0,5,0,0,0
2024-04-28,0,0,0,0,3
2024-05-05,0,0,0,0,4
2024-05-12,0,5,0,0,0
2024-05-19,0,4,0,0,4
2024-05-26,0,5,0,0,0
2024-06-02,0,3,0,0,4
2024-06-09,0,5,0,0,0
2024-06-16,0,3,0,0,0
2024-06-23,0,5,0,0,0
2024-06-30,0,3,0,0,0
2024-07-07,0,4,0,0,0
2024-07-14,0,5,0,0,3
2024-07-21,0,7,0,0,0
2024-07-28,0,7,3,0,0
2024-08-04,0,4,0,0,4
2024-08-11,0,6,0,0,4
2024-08-18,0,6,0,0,0
2024-08-25,0,5,0,0,6
2024-09-01,0,4,0,0,4
2024-09-08,0,0,0,0,5
2024-09-15,0,5,0,0,6
2024-09-22,0,5,0,0,0
2024-09-29,0,0,0,0,0
2024-10-06,0,6,0,0,0
2024-10-13,0,6,0,0,5
2024-10-20,0,4,0,0,0
2024-10-27,0,4,0,0,0
2024-11-03,0,4,0,0,3
2024-11-10,0,4,0,0,0
2024-11-17,0,4,0,0,5
2024-11-24,0,0,0,0,5
2024-12-01,0,4,0,0,4
2024-12-08,0,7,0,0,0
2024-12-15,0,0,0,0,0
2024-12-22,0,5,0,0,0
2024-12-29,0,6,0,0,0
2025-01-05,0,0,0,0,0
2025-01-12,0,6,0,0,4
2025-01-19,0,6,0,0,4
2025-01-26,0,5,0,0,4
2025-02-02,0,5,0,0,0
2025-02-09,0,5,0,0,4
2025-02-16,0,6,0,0,0
2025-02-23,0,4,0,0,0
2025-03-02,0,4,0,0,4
2025-03-09,0,5,0,0,0
2025-03-16,0,4,0,0,0
2025-03-23,0,7,0,0,0
2025-03-30,0,4,0,0,0
2025-04-06,0,5,0,0,0
2025-04-13,0,7,0,0,0
2025-04-20,0,9,0,0,0
2025-04-27,0,6,0,0,0
2025-05-04,0,7,0,0,0
2025-05-11,0,7,0,0,0
2025-05-18,0,6,0,0,0
2025-05-25,0,6,0,0,0
2025-06-01,0,8,0,0,6
2025-06-08,0,18,0,0,0
2025-06-15,0,14,0,0,5
2025-06-22,0,13,0,0,4
2025-06-29,0,14,0,0,0
2025-07-06,0,13,3,0,5
2025-07-13,0,29,0,0,0
2025-07-20,0,29,5,0,9
2025-07-27,0,40,9,0,5
2025-08-03,7,79,15,0,12
2025-08-10,7,100,38,0,16
2025-08-17,6,85,26,0,11
2025-08-24,4,62,11,0,10
2025-08-31,3,79,11,0,11
2025-09-07,3,56,14,0,12
2025-09-14,4,32,11,0,7
2025-09-21,0,39,9,0,7
2025-09-28,0,47,7,0,0
2025-10-05,4,38,10,0,6
2025-10-12,4,46,7,0,5
2025-10-19,0,39,7,0,5
2025-10-26,0,35,5,0,8
2025-11-02,0,36,6,0,9
2025-11-09,0,40,7,0,8
2025-11-16,0,38,7,0,9
2025-11-23,0,55,5,0,7
2025-11-30,3,69,12,3,8
2025-12-07,0,59,8,0,9
2025-12-14,4,46,9,0,6
2025-12-21,0,37,7,0,5
2025-12-28,0,35,6,0,5
2026-01-04,0,34,6,0,8
2026-01-11,0,43,6,0,6
2026-01-18,0,50,6,0,3
2026-01-25,0,69,6,0,6
2026-02-01,0,58,10,0,4
2026-02-08,0,43,5,0,7
2026-02-15,0,47,8,0,7
2026-02-22,0,55,9,0,7
2026-03-01,4,78,7,0,11
2026-03-08,0,59,12,0,11
2026-03-15,4,67,14,0,6
2026-03-22,0,69,10,0,8
2026-03-29,5,58,9,0,9
2026-04-05,5,58,12,0,9
2026-04-12,4,63,8,0,9
2026-04-19,4,48,6,0,7
2026-04-26,5,71,10,0,10
2026-05-03,4,75,9,0,9
2026-05-10,4,71,11,0,9
2026-05-17,4,55,7,0,10
2026-05-24,4,58,7,0,8
2026-05-31,5,63,8,3,20
2026-06-07,4,74,11,0,8
2026-06-14,7,77,10,0,9
2026-06-21,0,72,6,0,9
2026-06-28,0,54,7,0,7
2026-07-05,0,53,6,0,9
2026-07-12,3,39,7,0,5
2026-07-19,5,40,8,0,4
2026-07-26,0,36,5,0,4
2026-08-02,0,30,5,0,0
2026-08-09,4,36,4,0,5
2026-08-16,0,40,8,0,4
2026-08-23,1,24,3,0,2
2026-08-30,1,29,3,0,2
2026-09-06,2,36,4,0,4
